学历要求,薪资水平
本科,37500
硕士,15000
本科,3500
本科,45000
不限,30000
硕士,50000
硕士,30000
不限,35000
本科,60000
本科,40000
本科,30000
本科,30000
硕士,20000
本科,30000
不限,37500
本科,27500
不限,37500
硕士,37500
本科,30000
本科,37500
本科,27500
硕士,20000
本科,30000
本科,22500
本科,27500
硕士,45000
硕士,32500
本科,30000
本科,37500
本科,45000
本科,37500
硕士,30000
本科,37500
本科,30000
本科,30000
本科,40000
硕士,37500
本科,22500
本科,37500
本科,37500
本科,20000
硕士,37500
本科,24000
本科,45000
本科,50000
硕士,22500
本科,45000
不限,45000
本科,22500
硕士,27500
硕士,27500
本科,22500
硕士,20000
硕士,30000
硕士,30000
硕士,30000
本科,25000
硕士,37500
硕士,30000
不限,30000
本科,40000
本科,30000
本科,25000
本科,27500
本科,50000
本科,30000
硕士,45000
本科,30000
硕士,30000
本科,45000
本科,22500
硕士,6500
硕士,24000
本科,30000
本科,30000
本科,27000
硕士,30000
本科,37500
本科,26500
本科,37500
本科,30000
不限,22500
本科,60000
硕士,7500
硕士,7500
本科,30000
本科,30000
硕士,40000
硕士,30000
硕士,30000
硕士,50000
硕士,42500
本科,30000
本科,29000
本科,30000
硕士,37500
硕士,30000
本科,30000
硕士,30000
本科,36500
本科,25000
本科,35000
硕士,30000
硕士,20000
本科,21500
本科,22500
不限,21500
本科,37500
本科,30000
本科,25000
本科,25000
本科,45000
硕士,75000
本科,25000
硕士,52500
本科,70000
本科,45000
本科,30000
本科,30000
硕士,6000
本科,45000
本科,30000
本科,35000
硕士,35000
硕士,27500
本科,40000
硕士,37500
本科,35000
硕士,45000
不限,30000
硕士,52500
硕士,40000
本科,45000
本科,30000
本科,22500
本科,45000
本科,30000
硕士,30000
本科,22500
本科,22500
本科,37500
本科,37500
本科,60000
本科,40000
本科,37500
本科,37500
本科,20000
本科,37500
本科,37500
本科,45000
本科,45000
本科,45000
本科,57500
本科,30000
硕士,57500
本科,45000
硕士,37500
本科,29000
本科,37500
硕士,22500
硕士,45000
本科,37500
硕士,37500
本科,27500
本科,37500
硕士,14000
硕士,30000
本科,50000
硕士,30000
本科,27500
本科,5000
硕士,40500
硕士,65000
硕士,37500
本科,45000
本科,30000
硕士,37500
硕士,37500
硕士,37500
本科,42500
硕士,37500
本科,15000
博士,60000
本科,42500
硕士,37500
本科,40000
本科,50000
本科,37500
硕士,37500
硕士,14000
本科,30000
本科,24000
本科,50000
本科,35000
本科,35000
本科,45000
本科,40000
本科,30000
硕士,15000
本科,30000
本科,30000
硕士,30000
本科,37500
不限,30000
本科,30000
本科,37500
本科,22500
本科,30000
本科,40000
本科,40000
本科,30000
本科,4500
硕士,37500
本科,30000
本科,35000
硕士,25000
不限,4500
本科,7500
本科,32500
本科,30000
本科,30000
硕士,40000
本科,37500
硕士,12500
不限,22500
硕士,22500
本科,42500
本科,45000
本科,30000
本科,40000
本科,37500
硕士,57500
本科,50000
硕士,20000
本科,30000
硕士,30000
本科,25000
硕士,22500
硕士,22500
硕士,47500
本科,37500
硕士,7000
硕士,30000
本科,30000
硕士,30000
本科,17500
本科,18000
本科,30000
硕士,15000
不限,27500
本科,22500
本科,30000
本科,35000
硕士,30000
本科,37500
硕士,40000
硕士,30000
本科,45000
硕士,105000
硕士,50000
本科,13000
硕士,16000
硕士,40000
本科,7500
不限,27500
硕士,18000
博士,55000
本科,35000
本科,45000
本科,40000
本科,45000
本科,23000
本科,37500
硕士,35000
本科,25000
硕士,5000
硕士,17500
本科,32500
本科,30000
本科,25000
硕士,6000
本科,40000
本科,30000
本科,11500
硕士,30000
硕士,20000
本科,40000
本科,40000
本科,45000
本科,27000
本科,45000
硕士,40000
硕士,45000
本科,25000
本科,15500
硕士,40000
本科,22500
本科,22500
不限,23000
本科,13500
本科,22500
本科,37500
本科,12500
硕士,25000
本科,37500
本科,32500
本科,12500
本科,27500
硕士,15000
本科,37500
本科,15000
本科,27000
不限,8000
硕士,41500
本科,16000
本科,16000
本科,25000
本科,22500
本科,3000
本科,20000
本科,37500
本科,27500
硕士,19000
硕士,35000
本科,18500
本科,25000
本科,8000
本科,20000
不限,40000
本科,22500
本科,37500
本科,30000
硕士,15000
本科,20000
硕士,55000
硕士,47500
本科,40000
本科,9000
本科,17500
本科,14000
本科,6000
本科,30000
本科,35000
本科,22500
本科,20000
本科,20000
本科,2500
本科,24000
硕士,27500
本科,22500
硕士,11500
本科,20000
硕士,22500
本科,30000
本科,26500
硕士,18000
本科,30000
硕士,30000
硕士,24500
本科,12500
本科,22500
本科,30000
硕士,9000
本科,30000
本科,16500
本科,18000
硕士,22500
本科,15000
本科,22500
本科,9000
硕士,20000
本科,6000
大专,16000
本科,23000
本科,19000
本科,23000
本科,30000
本科,30000
本科,17500
硕士,25000
本科,12500
本科,15000
本科,22500
本科,20000
本科,18500
硕士,12000
本科,15000
本科,23000
本科,15000
本科,18500
本科,23000
本科,27500
本科,32500
本科,32500
本科,11500
本科,22500
本科,23000
本科,30000
硕士,28000
本科,22500
本科,25000
本科,17000
硕士,23000
本科,20000
本科,37500
本科,12000
不限,35000
硕士,20000
硕士,18000
本科,22500
本科,27500
硕士,19000
本科,37500
硕士,30000
本科,34500
不限,22500
硕士,15000
本科,15000
本科,11500
本科,20000
本科,22500
硕士,22500
硕士,6000
本科,22500
硕士,60000
本科,11500
本科,32500
硕士,45000
本科,40000
本科,7500
本科,15000
本科,20000
大专,20000
不限,65000
不限,28500
不限,65000
硕士,37500
本科,17000
硕士,20000
本科,32500
大专,15000
硕士,17500
硕士,37500
本科,3000
不限,16000
本科,21500
大专,17500
本科,30000
不限,22500
本科,17500
硕士,45000
本科,30000
本科,37500
本科,37500
不限,37500
不限,37500
本科,22500
本科,45000
本科,42500
本科,30000
本科,6000
本科,9000
硕士,30000
本科,30000
本科,30000
硕士,19000
硕士,4000
本科,20000
本科,32500
本科,26500
硕士,20000
本科,22500
本科,35000
本科,26500
硕士,18500
硕士,30000
硕士,30000
硕士,30000
本科,30000
本科,22500
本科,22500
本科,30000
本科,37500
本科,22500
硕士,21500
硕士,40000
硕士,20000
博士,25000
硕士,22500
硕士,25000
硕士,30000
硕士,15000
硕士,30000
不限,19000
硕士,22500
硕士,22500
大专,27500
本科,45000
本科,25000
硕士,30000
硕士,30000
本科,37500
硕士,20000
硕士,26000
硕士,27500
本科,25000
本科,20000
本科,34500
硕士,37500
硕士,25000
硕士,25000
本科,45000
硕士,30000
本科,37500
本科,32500
硕士,30000
不限,27500
硕士,30000
不限,45000
本科,20000
本科,20000
硕士,35000
本科,16500
硕士,45000
硕士,37500
硕士,37500
本科,32500
本科,20000
本科,30000
硕士,24000
硕士,32500
本科,37500
本科,18000
硕士,43500
本科,22500
本科,45000
硕士,15000
本科,37500
硕士,30000
本科,27500
硕士,30000
不限,30000
硕士,30000
硕士,30000
硕士,30000
硕士,32500
本科,28500
硕士,25000
硕士,20000
本科,30000
本科,45000
硕士,32500
本科,25000
本科,25000
本科,22500
硕士,22500
本科,22500
本科,15000
硕士,30000
本科,15500
硕士,35000
硕士,15500
本科,6000
本科,30000
本科,37500
本科,15000
本科,30000
本科,37500
本科,37500
硕士,30000
大专,40000
硕士,9500
本科,45000
本科,25000
本科,21500
本科,30000
本科,45000
本科,10000
本科,30000
硕士,20000
不限,30000
硕士,30000
不限,22500
本科,25000
本科,22500
本科,42500
硕士,34000
本科,40000
本科,30000
硕士,30000
本科,22500
本科,11500
本科,20000
本科,20000
本科,10000
硕士,24000
硕士,30000
硕士,40000
硕士,40000
硕士,27500
本科,27500
本科,22500
本科,30000
本科,22500
硕士,15000
本科,37500
本科,60000
硕士,37500
本科,22500
本科,20500
本科,45000
本科,10500
硕士,65000
硕士,20000
本科,21000
硕士,30000
本科,30000
本科,22500
硕士,20000
硕士,19000
硕士,37500
本科,20000
硕士,27500
硕士,45000
本科,45000
本科,45000
硕士,30000
本科,22500
硕士,40000
本科,30000
本科,22500
硕士,30000
不限,35000
本科,6000
硕士,22500
本科,22500
本科,22500
本科,4500
硕士,45000
本科,45000
本科,37500
本科,26500
本科,45000
本科,37500
本科,7500
硕士,45000
本科,34000
硕士,20000
博士,21500
本科,26500
博士,19000
本科,21000
本科,27500
本科,27500
硕士,20000
本科,27500
本科,25000
本科,37500
硕士,27000
本科,30000
本科,6000
硕士,22500
硕士,7000
本科,20000
本科,30000
硕士,20000
不限,37500
本科,22500
本科,14000
本科,20000
硕士,22500
本科,8500
硕士,34500
本科,45000
本科,22500
硕士,40000
硕士,22500
硕士,10500
本科,30000
本科,22500
本科,3000
本科,20000
本科,45000
本科,20500
本科,30000
本科,25000
本科,3500
本科,18000
本科,16000
硕士,27500
本科,34000
本科,16000
本科,30000
本科,22500
硕士,15000
本科,35000
硕士,27500
硕士,20000
本科,20000
本科,20000
硕士,27500
硕士,37500
本科,16000
本科,45000
本科,45000
硕士,40000
本科,35000
硕士,21500
本科,40000
本科,45000
本科,52500
本科,15000
硕士,32500
硕士,30000
本科,20000
本科,12000
硕士,37500
硕士,37500
本科,24000
硕士,30000
硕士,37500
本科,25000
本科,30000
本科,37500
本科,24000
硕士,30000
硕士,37500
本科,30000
本科,42500
不限,30000
本科,30000
硕士,20000
本科,12000
本科,20000
本科,22500
本科,20000
本科,20000
本科,22500
硕士,45000
本科,24000
硕士,35000
本科,30000
本科,40000
本科,37500
本科,12000
本科,16000
本科,25000
硕士,30000
本科,37500
硕士,22500
硕士,22500
本科,40000
硕士,30000
本科,16000
本科,40000
本科,30000
本科,40000
硕士,30000
硕士,40000
本科,33000
本科,22500
本科,27500
本科,15000
本科,12500
本科,27500
本科,20000
本科,15500
本科,16000
本科,40000
不限,30000
硕士,30000
本科,22500
不限,22500
本科,30000
硕士,30000
硕士,25000
硕士,18000
本科,4500
本科,22500
本科,35000
本科,30000
硕士,30000
不限,4000
本科,21000
硕士,30000
本科,42500
硕士,30000
硕士,25000
硕士,27000
本科,37500
本科,15500
硕士,37500
本科,30000
本科,20000
硕士,35000
硕士,35000
本科,30000
硕士,27000
硕士,37500
硕士,37500
硕士,25000
本科,40000
硕士,37500
博士,60000
硕士,37500
硕士,37500
硕士,37500
不限,27000
本科,37500
博士,37500
硕士,37500
不限,37500
本科,37500
本科,45000
硕士,25000
硕士,75000
本科,23000
本科,37500
本科,45000
本科,15000
本科,35000
本科,55000
本科,15000
硕士,30000
本科,37500
硕士,20000
本科,6000
不限,60000
硕士,47500
硕士,37500
不限,21000
硕士,30000
硕士,27500
不限,45000
本科,32500
本科,37500
本科,30000
本科,7500
硕士,30000
本科,30000
本科,20000
硕士,9000
本科,22500
硕士,35000
本科,19000
硕士,30000
硕士,45000
本科,22500
硕士,19000
本科,22500
本科,30000
硕士,27500
本科,30000
本科,15000
本科,35000
硕士,52500
硕士,37500
本科,20000
本科,21000
本科,37500
硕士,10000
本科,30000
本科,24000
本科,15000
硕士,30000
本科,20000
本科,20000
硕士,37500
本科,25000
硕士,30000
本科,12500
硕士,30000
不限,27500
不限,22500
本科,22500
本科,27500
硕士,30000
本科,32500
硕士,27500
本科,32500
本科,12000
硕士,30000
硕士,30000
硕士,37500
本科,24000
本科,37500
本科,25000
本科,22500
本科,19500
本科,25000
本科,22500
本科,30000
不限,30000
本科,25000
本科,22500
硕士,40000
本科,30000
本科,42500
硕士,37500
本科,30000
本科,42500
硕士,37500
本科,45000
硕士,30000
本科,25000
本科,30000
本科,22500
本科,40000
硕士,30000
硕士,32500
本科,40000
硕士,32500
本科,45000
本科,40000
本科,30000
硕士,45000
硕士,30000
本科,22500
硕士,22000
本科,21500
本科,27500
本科,30000
本科,22500
本科,15000
本科,27500
本科,17500
硕士,40000
本科,45000
硕士,22500
硕士,40000
本科,34000
硕士,25000
硕士,30000
本科,35000
硕士,45000
硕士,20000
硕士,37500
硕士,30000
硕士,20000
本科,30000
硕士,30000
本科,30000
硕士,37500
本科,30000
硕士,35000
本科,32500
本科,40000
本科,30000
本科,13500
硕士,20000
硕士,37500
硕士,25000
本科,20000
本科,30000
本科,30000
本科,40000
不限,40000
本科,30000
本科,30000
硕士,5000
本科,37500
硕士,35000
硕士,25000
本科,22500
本科,20000
不限,45000
硕士,37500
硕士,45000
本科,30000
本科,20000
硕士,12500
硕士,20000
不限,47500
本科,400000
硕士,30000
硕士,52500
本科,37500
本科,30000
硕士,22500
硕士,25000
本科,24000
本科,17500
本科,22500
本科,37500
本科,55000
本科,20500
本科,22500
本科,15000
本科,40000
本科,22500
本科,19500
本科,22500
硕士,37500
本科,30000
本科,19000
本科,22500
本科,30000
本科,20000
硕士,30000
硕士,20000
本科,30000
本科,25000
硕士,22500
本科,22500
硕士,18000
博士,52500
本科,27500
硕士,27500
本科,22500
本科,22500
硕士,11000
硕士,30000
本科,25000
本科,30000
硕士,27000
本科,11000
本科,22500
本科,40000
本科,17500
本科,15000
本科,22500
本科,16000
硕士,22500
本科,22500
硕士,22500
本科,20000
博士,40000
硕士,30000
本科,60000
不限,4000
硕士,37500
本科,20000
硕士,20000
本科,37500
硕士,26500
本科,37500
本科,24000
本科,15000
本科,20000
本科,30000
硕士,45000
本科,22500
硕士,82500
硕士,30000
硕士,40000
本科,45000
不限,12000
本科,30000
本科,37500
硕士,45000
硕士,30000
不限,37500
本科,45000
硕士,45000
硕士,42500
硕士,35000
硕士,25000
本科,6000
硕士,22500
本科,37500
本科,47500
本科,37500
本科,27000
本科,30000
硕士,37500
本科,21500
博士,55000
硕士,45000
本科,32500
本科,31000
硕士,37500
硕士,37500
本科,37500
本科,15000
本科,20000
硕士,30000
本科,27500
硕士,30000
本科,60000
硕士,35000
硕士,32500
不限,27000
硕士,40000
硕士,30000
硕士,45000
不限,30000
硕士,45000
本科,37500
本科,40000
本科,37500
硕士,21500
本科,30000
本科,37500
本科,6500
本科,3500
本科,22500
硕士,40000
本科,37500
硕士,37500
本科,52500
硕士,25000
本科,30000
本科,30000
本科,22500
大专,20000
本科,37500
本科,30000
硕士,30000
本科,15000
本科,32500
硕士,30000
硕士,17500
本科,45000
本科,45000
不限,30000
本科,30000
本科,27000
不限,21500
硕士,20000
硕士,22500
硕士,37500
本科,37500
硕士,37500
硕士,37500
本科,52500
本科,30000
本科,52500
本科,37500
本科,45000
本科,24000
本科,32500
不限,32500
硕士,27500
本科,30000
本科,22500
本科,40000
本科,20000
硕士,32500
大专,24000
本科,24000
硕士,30000
硕士,37500
硕士,37500
本科,22500
硕士,20000
本科,52500
本科,22500
本科,22500
本科,30000
硕士,27500
本科,13500
本科,27500
本科,20000
本科,25000